Date	Value
01.08.2021 0:00	599,6981
01.08.2021 8:00	616,9066
01.08.2021 16:00	621,0547
02.08.2021 0:00	627,4996
02.08.2021 8:00	641,1717
02.08.2021 16:00	633,4554
03.08.2021 0:00	615,1542
03.08.2021 8:00	598,631
03.08.2021 16:00	595,3207
04.08.2021 0:00	582,6465
04.08.2021 8:00	576,5148
04.08.2021 16:00	580,5808
05.08.2021 0:00	589,4979
05.08.2021 8:00	601,8132
05.08.2021 16:00	625,3615
06.08.2021 0:00	626,6143
06.08.2021 8:00	625,4449
06.08.2021 16:00	623,5986
07.08.2021 0:00	638,2495
07.08.2021 8:00	643,1578
07.08.2021 16:00	631,7175
08.08.2021 0:00	625,02
08.08.2021 8:00	616,7083
08.08.2021 16:00	618,8021
09.08.2021 0:00	613,495
09.08.2021 8:00	603,0848
09.08.2021 16:00	597,717
10.08.2021 0:00	603,5736
10.08.2021 8:00	603,2848
10.08.2021 16:00	609,0742
11.08.2021 0:00	614,7001
11.08.2021 8:00	608,7169
11.08.2021 16:00	589,3428
12.08.2021 0:00	598,4359
12.08.2021 8:00	602,5229
12.08.2021 16:00	596,3481
13.08.2021 0:00	589,8159
13.08.2021 8:00	599,7567
13.08.2021 16:00	607,5073
14.08.2021 0:00	613,2947
14.08.2021 8:00	615,0376
14.08.2021 16:00	620,2882
15.08.2021 0:00	642,6591
15.08.2021 8:00	636,556
15.08.2021 16:00	635,2305
16.08.2021 0:00	646,021
16.08.2021 8:00	639,0927
16.08.2021 16:00	625,6646
17.08.2021 0:00	620,2733
17.08.2021 8:00	613,6927
17.08.2021 16:00	602,6139
18.08.2021 0:00	592,0059
18.08.2021 8:00	590,1583
18.08.2021 16:00	578,1481
19.08.2021 0:00	584,1067
19.08.2021 8:00	588,1808
19.08.2021 16:00	589,0229
20.08.2021 0:00	594,9802
20.08.2021 8:00	591,2233
20.08.2021 16:00	588,4178
21.08.2021 0:00	593,5814
21.08.2021 8:00	601,7767
21.08.2021 16:00	601,4721
22.08.2021 0:00	608,1096
22.08.2021 8:00	615,5547
22.08.2021 16:00	617,8297
23.08.2021 0:00	617,313
23.08.2021 8:00	601,9479
23.08.2021 16:00	592,7992
24.08.2021 0:00	588,0179
24.08.2021 8:00	591,1101
24.08.2021 16:00	580,7283
25.08.2021 0:00	567,5019
25.08.2021 8:00	522,5966
25.08.2021 16:00	559,3633
26.08.2021 0:00	574,6739
26.08.2021 8:00	557,4381
26.08.2021 16:00	556,0262
27.08.2021 0:00	561,1895
27.08.2021 8:00	566,2275
27.08.2021 16:00	560,7046
28.08.2021 0:00	564,2758
28.08.2021 8:00	570,6396
28.08.2021 16:00	564,2095
29.08.2021 0:00	570,4137
29.08.2021 8:00	585,0031
29.08.2021 16:00	597,6888
30.08.2021 0:00	603,904
30.08.2021 8:00	602,7514
30.08.2021 16:00	598,5132
31.08.2021 0:00	600,8113
31.08.2021 8:00	592,7727
31.08.2021 16:00	567,72
01.09.2021 0:00	546,1362
01.09.2021 8:00	568,8957
01.09.2021 16:00	616,6474
02.09.2021 0:00	633,9566
02.09.2021 8:00	605,8719
02.09.2021 16:00	647,0508
03.09.2021 0:00	641,1458
03.09.2021 8:00	635,8468
03.09.2021 16:00	650,5931
04.09.2021 0:00	647,7195
04.09.2021 8:00	657,5017
04.09.2021 16:00	674,6968
05.09.2021 0:00	656,5296
05.09.2021 8:00	647,9503
05.09.2021 16:00	630,3384
06.09.2021 0:00	620,3329
06.09.2021 8:00	624,2997
06.09.2021 16:00	636,5381
07.09.2021 0:00	668,6793
07.09.2021 8:00	663,7031
07.09.2021 16:00	647,1913
08.09.2021 0:00	664,1158
08.09.2021 8:00	666,4641
08.09.2021 16:00	643,1773
09.09.2021 0:00	631,7213
09.09.2021 8:00	610,1094
09.09.2021 16:00	584,0107
10.09.2021 0:00	621,9869
10.09.2021 8:00	651,1064
10.09.2021 16:00	651,4295
11.09.2021 0:00	638,8151
11.09.2021 8:00	624,8275
11.09.2021 16:00	643,0045
12.09.2021 0:00	635,3406
12.09.2021 8:00	612,7803
12.09.2021 16:00	607,7089
13.09.2021 0:00	652,3589
13.09.2021 8:00	681,3849
13.09.2021 16:00	669,7734
14.09.2021 0:00	666,2147
14.09.2021 8:00	657,1168
14.09.2021 16:00	632,5922
15.09.2021 0:00	612,0848
15.09.2021 8:00	610,299
15.09.2021 16:00	633,7433
16.09.2021 0:00	659,6549
16.09.2021 8:00	662,7018
16.09.2021 16:00	691,3196
17.09.2021 0:00	708,5931
17.09.2021 8:00	724,1606
17.09.2021 16:00	707,1021
18.09.2021 0:00	707,5393
18.09.2021 8:00	694,4037
18.09.2021 16:00	692,1719
19.09.2021 0:00	689,4016
19.09.2021 8:00	697,589
19.09.2021 16:00	709,9863
20.09.2021 0:00	716,1107
20.09.2021 8:00	716,3651
20.09.2021 16:00	711,7781
21.09.2021 0:00	734,3014
21.09.2021 8:00	734,6707
21.09.2021 16:00	731,3571
22.09.2021 0:00	739,8467
22.09.2021 8:00	746,0302
22.09.2021 16:00	719,3439
23.09.2021 0:00	685,4666
23.09.2021 8:00	673,5767
23.09.2021 16:00	669,3498
24.09.2021 0:00	691,2249
24.09.2021 8:00	717,4726
24.09.2021 16:00	724,8666
25.09.2021 0:00	718,4315
25.09.2021 8:00	708,4719
25.09.2021 16:00	714,1862
26.09.2021 0:00	712,7468
26.09.2021 8:00	719,6964
26.09.2021 16:00	722,4633
27.09.2021 0:00	704,4445
27.09.2021 8:00	698,1557
27.09.2021 16:00	700,128
28.09.2021 0:00	702,7393
28.09.2021 8:00	693,6544
28.09.2021 16:00	683,7781
29.09.2021 0:00	740,0375
29.09.2021 8:00	713,861
29.09.2021 16:00	630,2119
30.09.2021 0:00	593,6822
30.09.2021 8:00	570,726
30.09.2021 16:00	543,7781
01.10.2021 0:00	518,6764
01.10.2021 8:00	502,7114
01.10.2021 16:00	489,5877
02.10.2021 0:00	478,2745
02.10.2021 8:00	467,1269
02.10.2021 16:00	456,7973
03.10.2021 0:00	471,8425
03.10.2021 8:00	571,847
03.10.2021 16:00	649,0537
04.10.2021 0:00	745,2946
04.10.2021 8:00	750,1718
04.10.2021 16:00	716,2897
05.10.2021 0:00	677,4863
05.10.2021 8:00	646,4672
05.10.2021 16:00	605,6362
06.10.2021 0:00	550,4849
06.10.2021 8:00	513,6996
06.10.2021 16:00	498,408
07.10.2021 0:00	486,8755
07.10.2021 8:00	473,9965
07.10.2021 16:00	464,6851
08.10.2021 0:00	460,8096
08.10.2021 8:00	477,4541
08.10.2021 16:00	496,2275
09.10.2021 0:00	505,159
09.10.2021 8:00	514,0031
09.10.2021 16:00	508,36
10.10.2021 0:00	507,0024
10.10.2021 8:00	494,5665
10.10.2021 16:00	470,0557
11.10.2021 0:00	467,1181
11.10.2021 8:00	456,7235
11.10.2021 16:00	437,049
12.10.2021 0:00	431,0743
12.10.2021 8:00	439,8364
12.10.2021 16:00	422,4675
13.10.2021 0:00	466,5013
13.10.2021 8:00	469,3198
13.10.2021 16:00	478,6005
14.10.2021 0:00	461,164
14.10.2021 8:00	449,9889
14.10.2021 16:00	448,3207
15.10.2021 0:00	447,4155
15.10.2021 8:00	446,1737
15.10.2021 16:00	427,9956
16.10.2021 0:00	439,8416
16.10.2021 8:00	430,3684
16.10.2021 16:00	430,0669
17.10.2021 0:00	419,456
17.10.2021 8:00	418,1692
17.10.2021 16:00	426,6935
18.10.2021 0:00	399,4205
18.10.2021 8:00	384,5668
18.10.2021 16:00	382,4158
19.10.2021 0:00	405,357
19.10.2021 8:00	433,6761
19.10.2021 16:00	416,2657
20.10.2021 0:00	450,3415
20.10.2021 8:00	422,7056
20.10.2021 16:00	399,6023
21.10.2021 0:00	430,6841
21.10.2021 8:00	447,7888
21.10.2021 16:00	436,9289
22.10.2021 0:00	393,5396
22.10.2021 8:00	414,48
22.10.2021 16:00	407,6198
23.10.2021 0:00	476,6421
23.10.2021 8:00	450,9855
23.10.2021 16:00	423,2239
24.10.2021 0:00	397,2598
24.10.2021 8:00	455,2832
24.10.2021 16:00	477,5975
25.10.2021 0:00	305,1649
25.10.2021 8:00	439,6504
25.10.2021 16:00	469,0741
26.10.2021 0:00	451,029
26.10.2021 8:00	479,1482
26.10.2021 16:00	455,5439
27.10.2021 0:00	490,5728
27.10.2021 8:00	486,0125
27.10.2021 16:00	474,758
28.10.2021 0:00	461,9381
28.10.2021 8:00	395,0074
28.10.2021 16:00	406,9052
29.10.2021 0:00	448,401
29.10.2021 8:00	426,6649
29.10.2021 16:00	269,7672
30.10.2021 0:00	309,8372
30.10.2021 8:00	259,4417
30.10.2021 16:00	303,2348
31.10.2021 0:00	294,5545
31.10.2021 8:00	255,8023
31.10.2021 16:00	228,4143
01.11.2021 0:00	235,1468
01.11.2021 8:00	244,3069
01.11.2021 16:00	243,7403
02.11.2021 0:00	266,2169
02.11.2021 8:00	320,968
02.11.2021 16:00	294,2123
03.11.2021 0:00	251,0825
03.11.2021 8:00	262,688
03.11.2021 16:00	298,1065
04.11.2021 0:00	272,0309
04.11.2021 8:00	241,833
04.11.2021 16:00	241,7965
05.11.2021 0:00	256,0685
05.11.2021 8:00	257,0023
05.11.2021 16:00	236,0268
06.11.2021 0:00	279,12
06.11.2021 8:00	243,7175
06.11.2021 16:00	212,6658
07.11.2021 0:00	214,3328
07.11.2021 8:00	231,8663
07.11.2021 16:00	251,2722
08.11.2021 0:00	249,5244
08.11.2021 8:00	247,5401
08.11.2021 16:00	225,118
09.11.2021 0:00	264,1341
09.11.2021 8:00	247,5975
09.11.2021 16:00	266,789
10.11.2021 0:00	253,4048
10.11.2021 8:00	318,2
10.11.2021 16:00	286,2083
11.11.2021 0:00	285,9225
11.11.2021 8:00	233,115
11.11.2021 16:00	230,7724
12.11.2021 0:00	294,0527
12.11.2021 8:00	283,4795
12.11.2021 16:00	215,4222
13.11.2021 0:00	210,5491
13.11.2021 8:00	236,5126
13.11.2021 16:00	226,2348
14.11.2021 0:00	241,9801
14.11.2021 8:00	242,2843
14.11.2021 16:00	252,1808
15.11.2021 0:00	210,7021
15.11.2021 8:00	194,2432
15.11.2021 16:00	185,8022
16.11.2021 0:00	294,9072
16.11.2021 8:00	347,4675
16.11.2021 16:00	245,6111
17.11.2021 0:00	222,7965
17.11.2021 8:00	265,52
17.11.2021 16:00	241,6369
18.11.2021 0:00	238,0961
18.11.2021 8:00	295,0291
18.11.2021 16:00	277,1517
19.11.2021 0:00	245,7622
19.11.2021 8:00	235,5041
19.11.2021 16:00	238,2496
20.11.2021 0:00	301,226
20.11.2021 8:00	284,0424
20.11.2021 16:00	269,1665
21.11.2021 0:00	286,2792
21.11.2021 8:00	286,1707
21.11.2021 16:00	273,843
22.11.2021 0:00	272,4536
22.11.2021 8:00	247,179
22.11.2021 16:00	267,5803
23.11.2021 0:00	223,8008
23.11.2021 8:00	203,4909
23.11.2021 16:00	231,0283
24.11.2021 0:00	210,945
24.11.2021 8:00	233,1861
24.11.2021 16:00	231,8586
25.11.2021 0:00	234,5702
25.11.2021 8:00	253,405
25.11.2021 16:00	251,073
26.11.2021 0:00	221,8892
26.11.2021 8:00	212,8678
26.11.2021 16:00	223,4282
27.11.2021 0:00	239,1997
27.11.2021 8:00	281,0339
27.11.2021 16:00	380,5001
28.11.2021 0:00	324,7718
28.11.2021 8:00	333,2468
28.11.2021 16:00	287,4368
29.11.2021 0:00	284,2366
29.11.2021 8:00	254,2599
29.11.2021 16:00	186,1077
30.11.2021 0:00	199,6119
30.11.2021 8:00	153,8292
30.11.2021 16:00	134,7853
01.12.2021 0:00	145,0415
01.12.2021 8:00	191,9487
01.12.2021 16:00	203,6373
02.12.2021 0:00	152,4017
02.12.2021 8:00	228,9413
02.12.2021 16:00	305,4116
03.12.2021 0:00	268,3301
03.12.2021 8:00	422,4955
03.12.2021 16:00	350,0549
04.12.2021 0:00	368,516
04.12.2021 8:00	358,2949
04.12.2021 16:00	272,9847
05.12.2021 0:00	261,871
05.12.2021 8:00	318,362
05.12.2021 16:00	347,7101
06.12.2021 0:00	365,3873
06.12.2021 8:00	288,0044
06.12.2021 16:00	275,4955
07.12.2021 0:00	169,6723
07.12.2021 8:00	227,1475
07.12.2021 16:00	280,5744
08.12.2021 0:00	317,5106
08.12.2021 8:00	298,9801
08.12.2021 16:00	232,3284
09.12.2021 0:00	220,6255
09.12.2021 8:00	235,047
09.12.2021 16:00	286,0475
10.12.2021 0:00	352,5743
10.12.2021 8:00	314,6795
10.12.2021 16:00	262,1339
11.12.2021 0:00	279,7966
11.12.2021 8:00	320,7068
11.12.2021 16:00	314,5499
12.12.2021 0:00	320,5116
12.12.2021 8:00	295,1818
12.12.2021 16:00	259,5494
13.12.2021 0:00	265,765
13.12.2021 8:00	255,0256
13.12.2021 16:00	270,3075
14.12.2021 0:00	302,196
14.12.2021 8:00	204,98
14.12.2021 16:00	229,3074
15.12.2021 0:00	281,9177
15.12.2021 8:00	279,4066
15.12.2021 16:00	254,5916
16.12.2021 0:00	249,3419
16.12.2021 8:00	257,407
16.12.2021 16:00	280,8435
17.12.2021 0:00	332,5446
17.12.2021 8:00	342,6761
17.12.2021 16:00	345,4993
18.12.2021 0:00	334,6047
18.12.2021 8:00	290,5831
18.12.2021 16:00	272,5901
19.12.2021 0:00	292,3477
19.12.2021 8:00	304,9908
19.12.2021 16:00	248,4072
20.12.2021 0:00	250,3651
20.12.2021 8:00	258,3693
20.12.2021 16:00	204,748
21.12.2021 0:00	245,7686
21.12.2021 8:00	248,5571
21.12.2021 16:00	285,9356
22.12.2021 0:00	301,8325
22.12.2021 8:00	268,6717
22.12.2021 16:00	217,823
23.12.2021 0:00	258,9364
23.12.2021 8:00	251,7857
23.12.2021 16:00	185,7778
24.12.2021 0:00	225,6802
24.12.2021 8:00	224,0741
24.12.2021 16:00	211,903
25.12.2021 0:00	183,8413
25.12.2021 8:00	256,4189
25.12.2021 16:00	261,1092
26.12.2021 0:00	289,807
26.12.2021 8:00	322,5721
26.12.2021 16:00	252,9638
27.12.2021 0:00	202,1524
27.12.2021 8:00	224,8662
27.12.2021 16:00	258,5254
28.12.2021 0:00	278,0521
28.12.2021 8:00	231,3635
28.12.2021 16:00	215,6534
29.12.2021 0:00	222,2547
29.12.2021 8:00	321,3609
29.12.2021 16:00	378,6171
30.12.2021 0:00	383,0592
30.12.2021 8:00	385,5915
30.12.2021 16:00	329,0377
31.12.2021 0:00	328,8176
31.12.2021 8:00	313,8298
31.12.2021 16:00	285,5226
01.01.2022 0:00	335,7468
01.01.2022 8:00	327,7638
01.01.2022 16:00	350,6955
02.01.2022 0:00	305,2759
02.01.2022 8:00	268,4969
02.01.2022 16:00	251,1123
03.01.2022 0:00	258,7004
03.01.2022 8:00	262,5298
03.01.2022 16:00	293,0184
04.01.2022 0:00	302,8925
04.01.2022 8:00	304,3186
04.01.2022 16:00	255,8653
05.01.2022 0:00	258,3574
05.01.2022 8:00	242,5736
05.01.2022 16:00	258,0036
06.01.2022 0:00	281,575
06.01.2022 8:00	298,4756
06.01.2022 16:00	328,194
07.01.2022 0:00	266,717
07.01.2022 8:00	230,8768
07.01.2022 16:00	271,254
08.01.2022 0:00	343,2031
08.01.2022 8:00	284,7201
08.01.2022 16:00	273,4618
09.01.2022 0:00	302,179
09.01.2022 8:00	259,9121
09.01.2022 16:00	229,6278
10.01.2022 0:00	208,7437
10.01.2022 8:00	236,6794
10.01.2022 16:00	171,3214
11.01.2022 0:00	193,4286
11.01.2022 8:00	220,4311
11.01.2022 16:00	197,5014
12.01.2022 0:00	256,6031
12.01.2022 8:00	242,3443
12.01.2022 16:00	252,9182
13.01.2022 0:00	218,5203
13.01.2022 8:00	240,6511
13.01.2022 16:00	295,9914
14.01.2022 0:00	310,2646
14.01.2022 8:00	330,3171
14.01.2022 16:00	320,1626
15.01.2022 0:00	351,4279
15.01.2022 8:00	366,3781
15.01.2022 16:00	376,7811
16.01.2022 0:00	409,3755
16.01.2022 8:00	360,2536
16.01.2022 16:00	341,7002
17.01.2022 0:00	335,4055
17.01.2022 8:00	362,7527
17.01.2022 16:00	381,0423
18.01.2022 0:00	386,1988
18.01.2022 8:00	385,3279
18.01.2022 16:00	388,4192
19.01.2022 0:00	345,5842
19.01.2022 8:00	354,7719
19.01.2022 16:00	269,433
20.01.2022 0:00	312,2505
20.01.2022 8:00	417,4594
20.01.2022 16:00	448,8856
21.01.2022 0:00	400,5709
21.01.2022 8:00	432,7209
21.01.2022 16:00	382,7009
22.01.2022 0:00	388,8465
22.01.2022 8:00	339,0123
22.01.2022 16:00	330,0067
23.01.2022 0:00	416,0759
23.01.2022 8:00	414,854
23.01.2022 16:00	374,787
24.01.2022 0:00	388,8164
24.01.2022 8:00	449,1611
24.01.2022 16:00	392,8894
25.01.2022 0:00	363,8886
25.01.2022 8:00	283,9474
25.01.2022 16:00	348,8577
26.01.2022 0:00	351,6742
26.01.2022 8:00	329,852
26.01.2022 16:00	318,5039
27.01.2022 0:00	255,8645
27.01.2022 8:00	326,6132
27.01.2022 16:00	284,5574
28.01.2022 0:00	240,6855
28.01.2022 8:00	205,1724
28.01.2022 16:00	213,5955
29.01.2022 0:00	309,1857
29.01.2022 8:00	298,9497
29.01.2022 16:00	325,2003
30.01.2022 0:00	351,571
30.01.2022 8:00	274,534
30.01.2022 16:00	195,3191
31.01.2022 0:00	315,5097
31.01.2022 8:00	282,2846
31.01.2022 16:00	250,4121
01.02.2022 0:00	255,0531
01.02.2022 8:00	314,8748
01.02.2022 16:00	311,1097
02.02.2022 0:00	393,9183
02.02.2022 8:00	372,6342
02.02.2022 16:00	310,9941
03.02.2022 0:00	309,789
03.02.2022 8:00	340,8084
03.02.2022 16:00	235,7377
04.02.2022 0:00	294,609
04.02.2022 8:00	329,2945
04.02.2022 16:00	350,916
05.02.2022 0:00	410,0892
05.02.2022 8:00	389,0222
05.02.2022 16:00	276,032
06.02.2022 0:00	320,061
06.02.2022 8:00	320,6973
06.02.2022 16:00	314,167
07.02.2022 0:00	350,7036
07.02.2022 8:00	319,2379
07.02.2022 16:00	217,0467
08.02.2022 0:00	243,5791
08.02.2022 8:00	351,6442
08.02.2022 16:00	368,0577
09.02.2022 0:00	327,979
09.02.2022 8:00	247,6985
09.02.2022 16:00	201,2062
